id,Missing,HGSHS.A1,HGSHS.A2,HGSHS.A3,HGSHS.A4,HGSHS.A5,HGSHS.A6,HGSHS.A7,HGSHS.A8,HGSHS.A9,HGSHS.A10,HGSHS.A11,HGSHS.A12PRE,HGSHS.A12POST,HGSHS.A12,INV.1,INV.2,INV.3,INV.4,INV.5,INV.6,INV.7,INV.8,INV.9,INV.10,INV.11,INV.12
183,0,0,1,1,1,1,1,1,1,0,1,1,7,3,0,0,5,4,3,3,2,4,4,0,3,4,0
184,0,1,1,1,1,1,1,1,1,0,1,1,8,0,0,5,4,3,3,5,3,4,5,0,5,3,4
185,0,1,1,1,1,1,1,1,1,0,1,0,5,1,0,4,5,4,4,5,4,5,5,0,4,0,4
186,0,1,1,0,1,1,1,1,0,0,1,0,6,2,0,4,5,4,3,4,2,2,3,3,5,4,5
187,0,1,0,0,1,0,0,1,0,0,1,0,6,1,0,4,1,4,0,0,0,4,3,0,4,0,4
188,0,0,1,1,0,1,1,1,1,0,1,0,8,0,0,0,4,5,0,4,5,5,0,0,5,0,0
189,0,1,0,0,1,1,1,1,1,0,0,0,1,0,0,4,5,4,4,2,5,5,4,0,4,0,3
190,0,1,1,1,1,1,1,1,1,0,1,1,5,3,0,4,3,5,4,5,5,5,5,0,5,2,5
191,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0
192,0,0,1,0,0,0,0,1,1,0,0,0,4,0,0,2,3,5,0,0,3,4,2,0,0,0,4
193,0,1,1,0,1,1,1,1,1,1,1,1,4,1,0,4,5,0,0,0,4,3,4,2,5,2,2
194,0,1,0,1,0,0,0,1,0,0,0,0,9,0,0,3,2,4,0,0,0,3,0,0,0,0,0
195,0,0,0,1,0,1,0,1,0,0,0,0,6,0,0,2,2,5,0,1,4,4,0,1,1,0,0
196,0,1,0,0,0,1,0,1,0,0,1,0,2,3,1,5,3,4,4,2,3,2,4,1,5,0,4
197,0,0,0,1,0,0,0,1,0,0,0,0,8,0,0,0,3,3,0,0,0,3,0,3,0,0,0
198,0,0,1,1,1,1,1,1,0,0,1,0,1,3,1,4,5,5,5,5,5,5,5,2,5,0,2
199,0,0,1,1,0,1,1,1,1,0,1,0,5,2,0,3,2,4,4,3,2,5,3,0,4,0,3
200,0,1,1,1,0,1,1,1,1,1,0,1,5,2,0,4,2,4,2,4,5,4,5,4,2,3,2
201,0,0,1,1,0,0,0,1,0,0,0,0,6,0,0,2,1,5,0,0,0,4,0,0,0,0,0
202,0,0,0,1,1,0,1,1,1,1,1,0,1,0,0,4,3,5,0,0,1,1,0,0,5,0,0
203,0,1,1,1,0,1,0,1,1,1,1,0,8,0,0,4,4,3,2,4,3,5,4,3,5,0,4
204,0,1,0,1,0,0,0,1,0,0,0,1,8,0,0,3,0,2,0,0,0,4,0,0,0,1,0
205,0,1,1,1,0,1,1,1,0,0,1,0,6,0,0,4,4,5,3,4,5,5,2,2,4,0,0
206,0,0,1,1,0,1,1,1,1,0,1,0,4,0,0,4,4,5,0,5,4,5,5,4,5,0,5
207,0,1,0,1,1,0,0,1,0,0,1,0,6,0,0,3,1,4,0,0,0,2,0,0,0,0,0
208,0,1,0,0,1,1,1,1,1,0,1,1,0,4,1,5,4,5,4,5,5,4,4,3,5,3,4
209,0,0,0,1,0,1,1,1,0,0,1,0,4,3,0,3,4,5,0,4,4,5,0,2,4,0,0
210,0,1,0,1,0,1,1,1,1,0,1,0,7,0,0,4,3,5,1,4,4,5,4,0,4,0,1
211,0,0,0,0,0,0,0,1,0,0,1,0,3,1,0,2,1,2,0,0,1,5,0,0,5,0,3
212,0,1,1,1,0,1,0,1,1,0,1,0,3,3,1,2,4,5,0,5,5,4,2,0,3,0,4
213,0,1,0,1,0,0,0,1,0,0,0,0,5,2,0,4,3,2,0,0,0,4,1,0,0,0,0
214,0,1,1,1,1,1,1,1,1,0,0,0,4,3,0,4,3,5,5,4,5,5,3,0,0,0,3
215,0,1,0,1,1,1,1,1,1,0,1,0,1,0,0,4,3,4,2,5,2,5,4,0,5,0,4
216,0,1,0,1,1,0,1,1,0,0,1,0,6,2,0,4,2,2,3,2,2,4,2,0,3,0,3
217,0,1,0,1,0,0,0,1,0,0,0,0,5,1,0,3,1,4,0,0,0,3,0,0,0,0,4
218,0,0,1,1,0,0,1,1,0,0,1,0,7,2,0,1,4,5,0,2,5,5,2,0,5,0,3
219,0,1,1,1,1,1,0,0,1,0,1,1,7,1,0,5,4,5,4,3,2,0,4,0,3,2,0
220,0,1,1,1,0,0,0,1,0,0,0,1,5,0,0,3,1,3,0,0,0,3,0,0,0,1,4
221,0,1,0,1,1,0,0,0,0,0,1,0,7,0,0,2,0,2,2,0,0,0,0,0,5,0,0
222,0,1,0,1,0,1,0,1,1,0,1,0,8,1,0,4,2,5,1,5,1,4,4,0,3,0,1
223,0,1,1,1,0,1,1,1,1,1,1,1,3,4,1,5,5,5,0,4,5,5,5,5,5,4,5
224,0,1,1,1,0,1,0,1,0,0,1,0,6,0,0,4,5,4,0,4,0,3,0,0,3,0,4
