Age ,Q6,Q4,Q25_1,Q25_2,Q25_3,Q25_4,Q25_5,Q25_6,Q25_7,Q25_8,Q25_9,Q25_10,Q25_11,Q25_12,Q25_13,Q25_14,Q25_15,Q25_16,Q25_17,Q25_18,Q25_19,Q25_20,Q25_21,Q25_22,Q25_23,Q25_24,Q25_25,Q25_26,Q25_27,Q25_28,DES time_Page Submit,DES_score,CODE,age,gender,PCSscore,1handlowersubj,2handtogethersubj,3mosquitosubj,4TasteAverage,5rigidsubj,6immobilizationsubj,7musicsubj,8ballssubj,9amnesiasubj,10spaceGeoMean,10spacebarsubj1,10spacebarsubj2,4Tastesweetsubj,4Tastesoursubj
18,Woman,1,1,3,2,0,3,4,0,0,2,1,0,2,3,2,4,0,6,7,0,6,9,9,1,6,2,1,6,2,176.712,2.928571429,200,18,Woman,1.05,3,4,0,0.5,1,1,0,0,1,0,5,0,1,0
18,Man,1,6,6,3,1,1,2,1,1,2,2,2,2,4,4,5,4,3,4,5,3,4,4,3,4,3,3,4,4,171.923,3.214285714,704,18,Man,1.1,1,4,0,1,2,1,0,0,2,0,0,1,1,1
20,Woman,1,6,3,1,0,0,0,0,1,0,1,3,2,1,1,2,2,0,1,1,3,1,0,3,2,0,0,0,2,214.778,1.285714286,665,19,Woman,1.1,2,1,0,2,3,3,0,0,0,0,3,0,2,2
21,Man,1,7,4,1,0,2,0,2,0,0,2,1,1,1,2,2,0,2,3,4,3,8,1,1,1,1,0,0,2,208.104,1.821428571,681,19,Man,1.1,3,1,0,1,4,1,1,0,0,0,0,0,2,0
19,Woman,1,4,7,1,0,0,0,0,0,0,1,2,2,0,1,6,2,2,0,1,6,8,5,3,2,1,1,0,0,209.98,1.964285714,479,18,Woman,1.05,4,1,0,1.5,2,2,0,0,0,0,4,0,3,0
18,Other,1,3,3,0,0,0,0,1,0,5,0,1,0,1,0,7,0,0,2,0,3,1,0,1,4,2,0,4,0,207.3,1.357142857,359,18,Other/prefer not to say,1.1,4,4,0,0,1,1,0,0,1,0,5,0,0,0
18,Woman,1,3,5,1,1,1,2,2,0,3,3,4,4,4,5,6,4,3,3,1,3,6,4,1,2,2,0,2,2,228.404,2.75,297,18,Woman,1.1,4,3,0,0,3,0,0,0,1,0,0,0,0,0
19,Woman,1,4,7,1,1,1,0,0,1,2,2,1,0,0,0,1,1,0,0,1,6,6,6,1,8,5,0,0,0,256.372,1.964285714,839,18,Woman,1.1,1,1,2,3,0,2,0,0,2,0,5,0,3,3
19,Woman,1,3,4,1,2,6,1,0,0,0,2,1,1,1,3,3,2,4,5,3,2,9,3,2,2,2,2,4,0,257.801,2.428571429,68,19,Woman,1.05,4,1,1,1.5,1,1,0,0,1,0,0,5,1,2
20,Woman,1,6,8,1,0,1,0,0,0,2,1,1,0,0,3,9,6,3,7,4,3,8,2,1,7,1,2,0,0,279.282,2.714285714,108,20,Woman,1.1,3,4,0,0,3,1,0,0,0,0,0,0,0,0
21,Man,1,8,10,1,0,0,0,0,0,3,8,0,6,2,8,10,8,8,10,9,10,0,9,8,10,5,1,10,10,294.99,5.5,55,21,Man,1.1,1,2,0,4,1,1,0,0,2,0,0,0,4,4
19,Man,1,7,8,7,5,1,7,1,0,8,9,9,7,9,6,10,2,9,1,2,5,1,3,1,7,7,1,5,1,308.13,4.964285714,298,19,Man,1.05,3,1,0,1.5,1,3,1,0,0,0,0,5,2,1
19,Man,1,0,3,1,0,0,1,0,0,0,3,1,1,0,0,2,0,0,2,1,1,10,3,2,10,0,0,0,0,399.604,1.464285714,132,19,Man,1.1,4,4,0,0,2,1,0,0,0,0,0,2,0,0
20,Woman,1,4,8,3,7,4,5,5,4,6,3,8,3,6,4,4,5,6,2,7,5,4,8,4,7,6,4,7,8,56.075,5.25,352,20,Woman,1.2,4,1,4,1,0,2,0,0,0,0,0,4,2,0
21,Woman,1,2,3,2,0,1,1,0,0,1,1,2,1,2,3,2,1,2,3,1,1,3,4,2,1,1,0,1,1,108.971,1.5,709,20,Woman,1.195,4,3,0,0.5,1,0,0,0,1,2.45,2,3,1,0
18,Woman,1,4,7,2,1,1,0,0,0,4,3,5,2,1,0,2,4,5,2,3,5,1,7,1,0,1,0,0,0,159.229,2.178571429,382,18,Woman,1.2,1,3,0,1,2,1,0,0,2,2,2,2,1,1
18,Woman,1,6,10,3,0,3,2,0,0,3,6,0,0,0,0,6,2,8,0,0,8,3,5,2,0,7,0,0,0,181.797,2.642857143,429,18,Woman,1.2,4,2,1,0,2,3,0,0,0,0,5,0,0,0
20,Other,1,4,8,2,0,0,1,3,2,4,4,1,3,3,0,4,2,3,1,3,4,1,2,0,8,5,0,1,2,171.992,2.535714286,803,19,Non-binary,1.2,5,4,0,0,3,0,0,0,0,0,3,0,0,0
18,Woman,1,7,7,3,0,0,0,2,0,0,8,3,3,4,8,8,0,2,4,3,6,2,7,4,1,1,1,1,2,180.01,3.107142857,226,18,Woman,1.2,3,2,0,3,2,2,0,0,0,0,0,5,2,4
18,Woman,1,1,3,0,0,1,3,0,0,0,0,0,3,1,0,4,0,3,0,1,5,4,0,0,0,1,0,0,0,215.65,1.071428571,129,18,Woman,1.15,2,0,2,0.5,0,3,3,0,1,0,5,0,0,1
19,Woman,1,1,2,0,0,0,1,0,0,0,1,1,3,3,1,1,1,1,0,1,1,0,2,2,1,0,0,0,0,228.186,0.821428571,871,18,Woman,1.15,4,1,1,2.5,1,2,0,0,0,0,0,5,2,3
20,Woman,1,2,7,1,1,0,0,2,1,0,4,5,5,6,3,6,2,1,3,2,2,1,3,2,3,3,1,1,2,222.308,2.464285714,835,19,Woman,1.15,2,2,2,2.5,2,1,0,0,0,0,3,0,3,2
20,Woman,1,2,3,1,0,1,1,0,0,0,0,0,0,0,1,0,0,2,1,3,1,1,1,0,1,0,1,0,0,262.969,0.714285714,571,19,Woman,1.2,3,2,0,0,3,1,0,0,3,0,0,5,0,0
19,Woman,1,6,6,8,1,2,3,8,0,2,8,5,8,9,9,4,8,10,8,9,9,4,8,8,6,5,6,8,8,260.405,6.285714286,826,18,Woman,1.2,5,2,1,1,3,0,0,0,0,0,0,0,1,1
19,Other,1,7,7,7,4,1,0,3,1,1,1,4,7,5,0,8,7,7,5,3,6,0,5,0,6,4,0,0,1,159.265,3.571428571,707,18,Non-binary,1.15,2,3,2,2.5,1,1,0,0,0,0,4,0,2,3
18,Other,1,9,9,6,1,0,4,8,7,9,1,10,10,9,0,6,5,9,9,8,10,3,7,0,2,0,0,7,9,282.67,5.642857143,379,18,Non-binary,1.223606798,0,5,0,0,1,2,0,0,2,2.236067977,5,1,0,0
19,Woman,1,2,3,1,0,3,0,0,0,0,4,1,8,5,2,8,4,6,3,1,5,9,4,7,7,3,0,3,4,219.75,3.321428571,805,18,Woman,1.2,2,5,0,1,0,4,0,0,0,0,5,0,0,2
19,Woman,1,0,2,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,4,1,1,1,0,0,0,0,314.411,0.571428571,370,19,Woman,1.2,3,3,1,0,3,1,1,0,0,0,0,0,0,0
20,Woman,1,0,3,0,0,1,0,3,0,0,1,0,0,0,5,1,0,1,2,2,0,4,1,1,2,1,0,0,0,341.702,1,423,20,Woman,1.15,2,1,3,3.5,0,1,0,0,1,0,1,0,4,3
19,Man,1,1,4,0,0,2,2,0,0,3,2,1,1,0,0,7,2,2,0,3,4,2,3,4,6,4,2,6,0,453.082,2.178571429,674,18,Man,1.2,4,1,0,2,5,0,0,0,0,0,0,3,3,1
20,Woman,1,2,3,2,0,1,0,0,0,0,0,0,0,0,1,4,0,1,0,1,1,1,1,4,5,2,1,0,0,413.696,1.071428571,243,20,Woman,1.244948974,2,2,0,0,4,1,0,0,1,2.449489743,2,3,0,0
18,Woman,1,3,7,3,0,0,1,0,0,0,0,0,0,0,5,4,6,2,7,3,6,9,1,1,6,0,0,0,1,823.768,2.321428571,134,18,Woman,1.2,4,4,0,3,1,0,0,0,0,0,0,0,4,2
18,Woman,1,6,4,1,0,0,0,1,0,1,1,2,1,1,3,1,1,2,4,2,2,2,6,3,2,2,2,1,0,1378.595,1.821428571,188,18,Woman,1.2,2,5,1,3,0,0,0,0,1,0,0,1,2,4
19,Woman,1,6,7,1,1,4,3,4,0,5,7,1,0,2,3,2,4,2,2,3,1,1,2,1,2,2,5,4,3,120.598,2.785714286,328,19,Woman,1.3,4,2,0,2,3,2,0,0,0,0,5,0,3,1
19,Woman,1,2,3,0,1,0,0,0,0,1,1,1,2,1,2,3,2,2,6,2,4,3,1,4,6,1,0,2,3,158.252,1.892857143,140,19,Woman,1.25,4,3,2,3.5,0,0,0,0,0,0,3,0,3,4
18,Woman,1,4,3,1,0,0,0,1,0,0,0,1,0,2,1,1,3,2,4,3,3,5,2,1,1,0,0,0,2,175.145,1.428571429,218,18,Woman,1.3,4,2,0,0,3,4,0,0,0,0,5,0,0,0
