Booklet,UNIVERSITY,Participantnumber,Age,Sex,Objectivescore,Objectivereturnscore,Subjectivescore,Subjectivereturnscore,Inductionrating,Q1HANDLOWEROBB,Q1HANDLOWERSUBJ,Q2MAGNETICOBJ,Q2MAGNETICSUBJ,Q3MOSQUITOOBJ,Q3MOSQUITOSUBJ,Q4TASTEOBJ,TASTEMEAN,Q4TASTE1SUBJ,Q4TASTE2SUBJ,Q5RIGIDITYOBJ,Q5RIGIDITYSUBJ,Q6IMMOBILEOBJ,Q6IMMOBILESUBJ,Q7MUSICOBJ,Q7MUSICSUBJ,Q8BALLSOBJ,Q8BALLSSUBJ,Q9AMNESIAOBJ,Q9AMNESIASUBJ,Q10PHSOBJ,Q10PHSSUBJ1,Q10PHSSUBJ2,PHSSUBJECTIVEGEOMETRICMEAN
1,1,22,19,Female,2,2,0.3,0.2,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0
2,1,266,19,Female,3, ,0.5,,1,1,1,0,0,1,1,1,2.5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,170,19,Female,1, ,0.5,,1,0,2,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
2,1,327,19,Female,0, ,0.6,,1,0,2,0,1,0,0,0,0.5,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
2,1,248,19,Female,2, ,0.6,,0,0,1,1,3,0,0,0,0.5,1,0,0,0,0,1,0,0,0,0,0,0,1,5,0,0
1,1,108,19,Female,3,2,0.7,0.2,1,1,2,1,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0
2,2,379,19,Female,0, ,0.7,,1,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,4,0
2,1,239,19,Female,3, ,0.7,,1,1,2,1,2,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0
2,1,333,19,male,2, ,0.7,,1,0,3,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,5,0,0
1,1,129,19,Female,2, ,0.8,,1,1,5,0,1,0,0,0,0.5,0,1,0,0,1,0,0,0,0,0,0,1,0,0,5,0
2,1,268,19,Female,5, ,0.8,,2,1,5,3,0,0,0,0,0.5,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
1,1,124,19,Female,1,2,0.8,0.8,1,0,1,1,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,3,3,3
2,1,325,19,Female,2, ,0.8,,1,1,4,1,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
2,1,247,19,Female,3, ,0.8,,1,1,3,1,1,0,0,0,1,0,2,0,1,0,1,0,0,0,0,0,1,1,5,0,0
1,1,100,19,Female,6,3,0.8,0.4,1,1,2,1,2,0,0,1,1,2,0,0,1,1,2,0,0,1,0,0,0,1,5,0,0
2,1,331,19,Female,3, ,0.9,,1,1,3,1,3,0,0,0,0.5,0,1,0,1,0,1,0,0,0,0,0,0,1,5,0,0
1,1,34,19,Female,4, ,0.9,,1,1,3,1,2,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,1,1,0,0,0
1,1,23,19,Female,3,3,0.9,0.9,1,1,3,1,2,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,1,1,0,0
